,StartDate,EndDate,Progress,duration_in_seconds,Finished,RecordedDate,ResponseId,survey_language,Q_consent,Q_age_real,Q_citizenship,Q_gender,Q_lang_english,Q_lang_french,Q_lang_aboriginal,Q_lang_arabic,Q_lang_chinese,Q_lang_filipino,Q_lang_german,Q_lang_indian,Q_lang_italian,Q_lang_korean,Q_lang_pakistani,Q_lang_persian,Q_lang_russian,Q_lang_spanish,Q_lang_tamil,Q_lang_vietnamese,Q_lang_other,Q_lang_dk_pna,Q_lang_aboriginal_TEXT,Q_lang_other_TEXT,Q_liveqc,Q_postalcode,Q_education,Q_employed,Q_employed_other_TEXT,Q_household,Q_income,Q_endsmeet,Q_bornca,Q_borncountry,Q_identity,Q_identity_other_TEXT,Q_id_can_happy,Q_id_can_attached,Q_id_can_understand,Q_id_can_pride,Q_id_frcan_happy,Q_id_frcan_attached,Q_id_frcan_understand,Q_id_frcan_pride,Q_id_qc_happy,Q_id_qc_attached,Q_id_qc_understand,Q_id_qc_pride,Q_id_other_happy,Q_id_other_attached,Q_id_other_understand,Q_id_other_pride,Q_attcheck1_response,Q_group_rewards,Q_indiv_express,Q_group_harmony,Q_indiv_rightswrong,Q_group_teamwork,Q_qc_roc_diff_lifestyle,Q_qc_roc_diff_thinking,Q_qc_roc_diff_values,Q_qc_roc_diff_culture,Q_qc_roc_diff_religion,Q_qc_roc_diff_politics,Q_trust_fedgov,Q_trust_qcgov,Q_trust_pubservants,Q_trust_mainmedia,Q_trust_altmedia,Q_trust_socmedia,Q_trust_courts,Q_trust_business,Q_trust_unions,Q_fed_reform_possibl,Q_qc_right_separate,Q_qc_resources_sover,Q_sovereignty_feasib,Q_gov_level_important,Q_gov_level_closest,Q_gov_level_national,Q_future_independent,Q_future_sovereign_assoc,Q_future_special_status,Q_future_province,Q_imm_toomuch_qc,Q_imm_levels_qc,Q_mostissue,Q_sovvote_qc,Q_issueown_qc_economy,Q_issueown_qc_healthcare,Q_issueown_qc_education,Q_issueown_qc_environment,Q_issueown_qc_interests,Q_issueown_qc_identity,Q_issueown_qc_immigration,Q_econqc_prosp,Q_econqc_persp,Q_frthreat_qc,Q_econqc_indy_persp,Q_frqc_persp,Q_frqc_indy_persp,Q_secular_symbols,Q_secular_separation,Q_secular_prayerban,Q_secular_schoolfunding,Q_culture_library,Q_culture_museum,Q_culture_shows,Q_culture_qcmusic,Q_culture_qcshow,Q_culture_qcmovie,Q_culture_qcbook,Q_culture_qcfood,Q_culture_threat_qc,Q_risk,Q_ft_liberal,Q_ft_pq,Q_ft_caq,Q_ft_qs,Q_ft_pcq,Q_blame,Q_jobs,Q_gap,Q_donew,Q_therm_feminists,Q_therm_gayslesbians,Q_therm_trans,Q_attcheck2_selected_yes,Q_attcheck2_selected_no,Q_provvote_2022,Q_provvote_2022_other_TEXT,Q_fedvote_2025,Q_fedvote_2025_other_TEXT,Q_provvote,Q_provvote_other_TEXT,Q_fedvote,Q_fedvote_other_TEXT,Q_qccan_att_enviro_powers,Q_qccan_att_racism_qc,Q_qccan_att_lang_secular,Q_qccan_att_colonial_shame,Q_qccan_att_better_in_canada,Q_qccan_att_french_fear,Q_qccan_att_pq_postpone,Q_qccan_att_gov_ineffective,Q_qccan_att_culture_sovereign,Q_qccan_att_immi_powers,Q_scc_strike_qc_laws,Q_trust_debate_group,current_date,lang_survey,Q_TotalDuration,pid,mother_tongue,district_code,complete_postal_code,region,district_name,rmr3,Q_education_cat,duration_in_minutes,passed_attention,weight_general,Scores_3Estimateurs,Scores_GD,Phinney_1,Phinney_2,Phinney_3,Phinney_4,Scores_Phinney,Scores_Triandis125,Scores_Differences,Scores_woke
0,2025-09-03 19:38:15,2025-09-03 19:49:45,100.0,689.0,1.0,2025-09-03 19:49:45,R_3cYcgHkqQrsGAwN,1.0,1.0,32.0,1.0,1.0,,French,,,,,,,,,,,,,,,,,,,1.0,G5V1G8,7.0,1.0,,4.0,5.0,2.0,1.0,,1.0,,,,,,,,,,2.0,2.0,2.0,2.0,,,,,1.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,6.0,6.0,6.0,6.0,7.0,4.0,7.0,6.0,5.0,6.0,2.0,4.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0,2.0,5.0,2.0,7.0,7.0,7.0,4.0,7.0,1.0,7.0,2.0,3.0,1.0,4.0,3.0,4.0,5.0,5.0,5.0,,2.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,50.0,65.0,30.0,75.0,3.0,4.0,6.0,1.0,1.0,85.0,86.0,86.0,1.0,1.0,4.0,,4.0,,4.0,,4.0,,,8.0,6.0,7.0,6.0,6.0,,5.0,6.0,6.0,2.0,3.0,20250903.0,1.0,689.0,00741380-e884-f011-b3cd-0022486d9fd1,1.0,24051.0,0.0,Bas-du-Fleuve & Est-du-Quebec,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,3.0,2.0,11.483333333333333,1.0,1.009974479675293,0.15767480764025435,1.8482775306862353,2.0,2.0,2.0,2.0,-0.3559817593858441,-0.06121515628575656,-0.6242039729697876,1.0652402052199588
1,2025-09-12 06:41:27,2025-09-12 06:53:06,100.0,699.0,1.0,2025-09-12 06:53:07,R_5iri5qLSmtlaeBW,1.0,1.0,28.0,1.0,1.0,,French,,,,,,,,,,,,,,,,,,,1.0,G1J2N3,9.0,1.0,,3.0,6.0,3.0,1.0,,3.0,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,7.0,8.0,8.0,8.0,7.0,,,9.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,6.0,3.0,5.0,7.0,7.0,4.0,7.0,1.0,7.0,3.0,1.0,1.0,3.0,2.0,2.0,0.0,10.0,0.0,10.0,4.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,,50.0,30.0,55.0,19.0,4.0,5.0,1.0,2.0,100.0,100.0,100.0,1.0,1.0,4.0,,7.0,J'ai annulé mon vote,3.0,,4.0,,10.0,8.0,10.0,5.0,10.0,5.0,7.0,5.0,7.0,8.0,3.0,1.0,20250912.0,1.0,699.0,007d8794-5688-f011-b3cd-0022486d9fd1,1.0,24008.0,0.0,Quebec Region,Beauport—Limoilou,2.0,3.0,11.65,1.0,0.868033230304718,0.41526208431107164,1.1755059246205648,1.0,1.0,1.0,2.0,0.5030479744204912,-1.674875882428583,-0.0015339208230520348,0.7011013896506483
2,2025-09-07 20:00:24,2025-09-07 20:13:35,100.0,791.0,1.0,2025-09-07 20:13:36,R_7GCcvIJs8Ex4v45,2.0,1.0,40.0,1.0,1.0,English,French,,,,,,,,,,,,,,,Other (please specify),,,Creole,1.0,H8Y1X1,5.0,7.0,,4.0,2.0,2.0,2.0,Mauritius,2.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,1.0,6.0,6.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,6.0,6.0,6.0,6.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,2.0,4.0,1.0,3.0,7.0,7.0,7.0,7.0,3.0,7.0,7.0,4.0,1.0,2.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,2.0,2.0,,,,,,6.0,5.0,1.0,1.0,55.0,1.0,2.0,1.0,1.0,7.0,,2.0,,8.0,,9.0,,,,,,,,,,,,3.0,6.0,20250907.0,2.0,791.0,00e80897-5688-f011-b3cd-0022486d9fd1,4.0,24056.0,0.0,West Island,Pierrefonds—Dollard,1.0,1.0,13.183333333333334,1.0,1.6183125972747803,-2.044748304223564,2.1666761419955125,1.0,1.0,1.0,2.0,0.5030479744204912,2.366652253346208,0.7962772002396328,
3,2025-09-02 18:43:39,2025-09-02 18:59:22,100.0,943.0,1.0,2025-09-02 18:59:23,R_5K2tAu3lGLBkxYh,1.0,1.0,69.0,1.0,2.0,,French,,,,,,,,,,,,,,,,,,,1.0,H2R1Y2,7.0,10.0,,3.0,9.0,2.0,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,6.0,,,,,1.0,6.0,2.0,2.0,2.0,6.0,2.0,4.0,1.0,1.0,2.0,4.0,6.0,5.0,4.0,9.0,2.0,2.0,6.0,5.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,7.0,1.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,3.0,1.0,10.0,10.0,10.0,10.0,4.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,22.0,78.0,55.0,4.0,4.0,2.0,4.0,2.0,2.0,,15.0,0.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,10.0,0.0,10.0,0.0,1.0,10.0,1.0,7.0,10.0,10.0,2.0,2.0,20250902.0,1.0,943.0,00f30897-5688-f011-b3cd-0022486d9fd1,1.0,24055.0,0.0,Montreal Est,Papineau,1.0,2.0,15.716666666666667,1.0,0.6607472896575928,1.1456647535891484,-0.025485727639765875,1.0,1.0,1.0,6.0,-0.6019685606480852,2.799026865158362,0.18707562783274426,-1.6681450539334577
4,2025-09-04 15:05:21,2025-09-04 15:14:40,100.0,558.0,1.0,2025-09-04 15:14:41,R_1BwWFUzPv14F6TW,1.0,1.0,35.0,1.0,1.0,,French,,,,,,,,,,,,,,,,,,,1.0,J5T1H7,8.0,1.0,,4.0,8.0,2.0,1.0,,1.0,,,,,,,,,,2.0,2.0,2.0,2.0,,,,,1.0,3.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,6.0,5.0,6.0,1.0,1.0,5.0,8.0,,3.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,3.0,1.0,2.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,2.0,2.0,1.0,3.0,3.0,2.0,10.0,8.0,10.0,7.0,3.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,,71.0,68.0,31.0,6.0,2.0,6.0,2.0,3.0,33.0,85.0,29.0,1.0,1.0,2.0,,3.0,,1.0,,3.0,,6.0,2.0,8.0,2.0,6.0,7.0,,7.0,8.0,8.0,2.0,3.0,20250904.0,1.0,558.0,00fc0897-5688-f011-b3cd-0022486d9fd1,1.0,24012.0,0.0,Lanaudière,Berthier—Maskinongé ,3.0,2.0,9.3,1.0,0.9030941128730774,0.41526208431107164,0.13636998798176816,2.0,2.0,2.0,2.0,-0.3559817593858441,-0.4640844864270071,-0.21529709643164005,-0.9392813871989399
5,2025-09-02 07:12:44,2025-09-02 07:46:52,100.0,2048.0,1.0,2025-09-02 07:46:53,R_1CzvTIMaHntn02t,2.0,1.0,71.0,1.0,2.0,English,French,,,,,,,,,,,,,,,,,,,1.0,H9K1M3,9.0,3.0,,3.0,4.0,3.0,1.0,,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,6.0,5.0,4.0,7.0,6.0,4.0,4.0,4.0,4.0,5.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,7.0,7.0,7.0,7.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,68.0,11.0,13.0,12.0,15.0,2.0,4.0,2.0,3.0,63.0,62.0,41.0,1.0,1.0,3.0,,2.0,,3.0,,2.0,,5.0,6.0,6.0,6.0,9.0,2.0,9.0,6.0,1.0,4.0,1.0,3.0,20250902.0,2.0,2048.0,01096a82-e884-f011-b3cd-0022486d9fd1,2.0,24036.0,0.0,West Island,Lac-Saint-Louis,1.0,3.0,34.13333333333333,1.0,0.3570174276828766,-0.8236721540835734,-0.4200482264763681,1.0,1.0,1.0,1.0,0.7793021081876353,0.34165417385549407,1.8281926416611645,0.518445946270096
6,2025-09-07 20:40:42,2025-09-07 20:58:48,100.0,1085.0,1.0,2025-09-07 20:58:48,R_7PTTegFpg6prqXL,1.0,1.0,23.0,1.0,2.0,,French,,,,,,,,,,,,,,,,,,,1.0,H7H1G1,6.0,1.0,,3.0,4.0,3.0,1.0,,2.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,4.0,3.0,3.0,8.0,4.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,7.0,4.0,7.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,50.0,80.0,10.0,50.0,60.0,3.0,4.0,2.0,2.0,50.0,50.0,50.0,1.0,1.0,4.0,,3.0,,1.0,,3.0,,5.0,3.0,5.0,0.0,6.0,6.0,6.0,3.0,5.0,8.0,2.0,2.0,20250907.0,1.0,1085.0,010b6a82-e884-f011-b3cd-0022486d9fd1,1.0,24065.0,0.0,Laval,Marc-Aurèle-Fortin,1.0,2.0,18.083333333333332,1.0,0.8872144222259521,0.9125785493980522,0.2728181316294069,1.0,1.0,2.0,1.0,0.5037375449873289,0.34165417385549407,-0.21529709643164005,-1.1210577771856465
7,2025-09-01 16:56:09,2025-09-01 17:06:25,100.0,615.0,1.0,2025-09-01 17:06:25,R_3belw9ciX69oo9P,1.0,1.0,44.0,1.0,1.0,,French,,,,,,,,,,,,,,,,,,,1.0,H7T2M2,10.0,1.0,,3.0,5.0,1.0,1.0,,3.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,7.0,7.0,4.0,7.0,1.0,1.0,9.0,6.0,7.0,1.0,5.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,9.0,10.0,10.0,10.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,40.0,23.0,68.0,10.0,8.0,1.0,3.0,6.0,3.0,58.0,23.0,23.0,1.0,1.0,2.0,,2.0,,2.0,,2.0,,7.0,5.0,8.0,8.0,8.0,7.0,5.0,7.0,2.0,10.0,1.0,2.0,20250901.0,1.0,615.0,010d6a82-e884-f011-b3cd-0022486d9fd1,1.0,24078.0,0.0,Laval,Vimy,1.0,3.0,10.25,1.0,0.8384819030761719,-0.3018546165168724,-2.3012604989462773,1.0,1.0,1.0,1.0,0.7793021081876353,-0.860669198939444,-0.8490908704742502,0.7002223362568029
8,2025-09-01 14:25:21,2025-09-01 14:44:26,100.0,1144.0,1.0,2025-09-01 14:44:27,R_52AqIJDkqsS1nse,1.0,1.0,74.0,1.0,1.0,,French,,,,,,,,,,,,,,,,,,,1.0,G5M1C8,6.0,,,1.0,2.0,5.0,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,8.0,5.0,7.0,7.0,4.0,9.0,4.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,10.0,10.0,10.0,10.0,4.0,4.0,4.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,1.0,100.0,68.0,1.0,1.0,3.0,3.0,1.0,1.0,50.0,50.0,21.0,1.0,1.0,1.0,,3.0,,1.0,,3.0,,10.0,0.0,10.0,0.0,0.0,10.0,0.0,5.0,10.0,10.0,2.0,1.0,20250901.0,1.0,1144.0,016d1380-e884-f011-b3cd-0022486d9fd1,1.0,24018.0,0.0,Bas-du-Fleuve & Est-du-Quebec,Rimouski-Neigette—Témiscouata—Les Basques,3.0,2.0,19.066666666666666,1.0,0.7521721124649048,1.651910262803456,0.7153463497298582,1.0,1.0,1.0,1.0,0.7793021081876353,-0.4640844864270071,-1.0115096907525778,-1.6681450539334577
9,2025-09-03 05:03:21,2025-09-03 05:19:00,100.0,939.0,1.0,2025-09-03 05:19:01,R_6FDHX9F3tfFTDIi,1.0,1.0,74.0,1.0,2.0,,French,,,,,,,,,,,,,,,,,,,1.0,G5M0S7,4.0,2.0,,3.0,4.0,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,10.0,0.0,1.0,10.0,8.0,10.0,5.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,10.0,10.0,10.0,1.0,2.0,4.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,5.0,100.0,14.0,5.0,4.0,1.0,4.0,1.0,3.0,51.0,57.0,40.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,10.0,1.0,10.0,1.0,1.0,10.0,0.0,3.0,10.0,10.0,2.0,2.0,20250903.0,1.0,939.0,017a8794-5688-f011-b3cd-0022486d9fd1,1.0,24018.0,0.0,Bas-du-Fleuve & Est-du-Quebec,Rimouski-Neigette—Témiscouata—Les Basques,3.0,1.0,15.65,1.0,1.4580090045928955,1.403252030259966,-0.3921772592526237,1.0,1.0,1.0,1.0,0.7793021081876353,1.1706134981800842,-1.4449163660338693,-1.3037132205661988
