TYPEINCIDENT,DESCRIPTION,DATEINCIDENT,ANNEE,OBJECTID,DATETEXTE,x,y
1,Accident avec blessés,9/30/2024 4:00:00 AM,2024,1,2024-09-30,-8014448.4702,5676598.2325
1,Accident avec blessés,2/16/2023 5:00:00 AM,2023,2,2023-02-16,-8007745.0575,5684450.4312
1,Accident avec blessés,9/11/2024 4:00:00 AM,2024,3,2024-09-11,-8002472.8912,5684142.4318
1,Accident avec blessés,6/15/2024 4:00:00 AM,2024,4,2024-06-15,-8020987.4667,5683509.3246
1,Accident avec blessés,9/28/2024 4:00:00 AM,2024,5,2024-09-28,-8004143.5919,5686317.498
1,Accident avec blessés,8/1/2022 4:00:00 AM,2022,6,2022-08-01,-8023820.925,5670780.7396
1,Accident avec blessés,10/10/2023 4:00:00 AM,2023,7,2023-10-10,-8008959.339,5684140.5844
1,Accident avec blessés,11/6/2023 5:00:00 AM,2023,8,2023-11-06,-8008903.8498,5684151.8423
1,Accident avec blessés,5/26/2022 4:00:00 AM,2022,9,2022-05-26,-7999534.1371,5692716.5997
1,Accident avec blessés,5/26/2022 4:00:00 AM,2022,10,2022-05-26,-8020938.865,5673864.9135
1,Accident avec blessés,2/13/2022 5:00:00 AM,2022,11,2022-02-13,-8010048.0727,5685237.7101
1,Accident avec blessés,8/7/2022 4:00:00 AM,2022,12,2022-08-07,-7998563.5083,5689877.1538
1,Accident avec blessés,9/8/2022 4:00:00 AM,2022,13,2022-09-08,-8010490.8323,5685188.6849
1,Accident avec blessés,12/4/2024 5:00:00 AM,2024,14,2024-12-04,-8013025.582,5681656.8028
1,Accident avec blessés,3/18/2022 4:00:00 AM,2022,15,2022-03-18,-8006162.894,5685317.2586
1,Accident avec blessés,10/31/2022 4:00:00 AM,2022,16,2022-10-31,-8001063.3192,5686052.6717
1,Accident avec blessés,6/27/2022 4:00:00 AM,2022,17,2022-06-27,-8024937.4439,5672978.9446
1,Accident avec blessés,1/31/2024 5:00:00 AM,2024,18,2024-01-31,-8000718.9115,5686109.115
1,Accident avec blessés,6/6/2024 4:00:00 AM,2024,19,2024-06-06,-8000129.8455,5687718.954
1,Accident avec blessés,6/19/2022 4:00:00 AM,2022,20,2022-06-19,-8023820.925,5670780.7396
1,Accident avec blessés,1/15/2022 5:00:00 AM,2022,21,2022-01-15,-8003435.3046,5684051.1477
1,Accident avec blessés,8/21/2022 4:00:00 AM,2022,22,2022-08-21,-8003435.3046,5684051.1477
1,Accident avec blessés,9/27/2024 4:00:00 AM,2024,23,2024-09-27,-8002799.0933,5681282.8026
1,Accident avec blessés,7/30/2024 4:00:00 AM,2024,24,2024-07-30,-8005225.0633,5686226.266
1,Accident avec blessés,9/15/2022 4:00:00 AM,2022,25,2022-09-15,-8002790.4809,5684594.7175
1,Accident avec blessés,12/20/2023 5:00:00 AM,2023,26,2023-12-20,-8022281.6774,5672440.6911
1,Accident avec blessés,10/5/2023 4:00:00 AM,2023,27,2023-10-05,-8003944.1103,5683578.287
1,Accident avec blessés,4/30/2023 4:00:00 AM,2023,28,2023-04-30,-8010905.306,5682427.2902
1,Accident avec blessés,3/1/2022 5:00:00 AM,2022,29,2022-03-01,-8002341.1382,5685255.5839
1,Accident avec blessés,8/29/2024 4:00:00 AM,2024,30,2024-08-29,-8015795.8645,5678474.5521
1,Accident avec blessés,5/4/2023 4:00:00 AM,2023,31,2023-05-04,-8001320.4967,5684540.5809
1,Accident avec blessés,8/12/2022 4:00:00 AM,2022,32,2022-08-12,-8019166.6019,5675892.0372
1,Accident avec blessés,11/26/2024 5:00:00 AM,2024,33,2024-11-26,-7999534.1371,5692716.5997
1,Accident avec blessés,7/2/2022 4:00:00 AM,2022,34,2022-07-02,-8010993.1914,5685951.7319
1,Accident avec blessés,9/14/2022 4:00:00 AM,2022,35,2022-09-14,-8000361.6316,5689213.2263
