ORIGINE,GENRE,AGE,FREQUENCE_MARCHE
Racine,Femme,70 ans et plus,presque toutes les semaines
Valcourt,Femme,70 ans et plus,presque toutes les semaines
St-François-Xavier de Brompton,Femme,50-59 ans,5 fois et moins
Racine,Femme,40-49 ans,entre 10 et 15 fois
Racine,Femme,60-69 ans,presque toutes les semaines
Orford,Homme,70 ans et plus,presque toutes les semaines
Granby,Homme,60-69 ans,5 fois et moins
Ulverton,Femme,40-49 ans,presque toutes les semaines
Sherbrooke (Secteur Rock Forest),Homme,60-69 ans,presque toutes les semaines
Racine,Femme,70 ans et plus,entre 10 et 15 fois
Saint-François,Femme,40-49 ans,presque toutes les semaines
Magog,Femme,70 ans et plus,5 fois et moins
Racine,Femme,60-69 ans,entre 10 et 15 fois
Saint-Denis-De-Brompton,Homme,40-49 ans,entre 10 et 15 fois
Eastman,Femme,50-59 ans,presque toutes les semaines
Val-Joli,Femme,50-59 ans,5 fois et moins
Orford,Femme,40-49 ans,presque toutes les semaines
Racine,Femme,17-29 ans,presque toutes les semaines
Orford,Femme,40-49 ans,5 fois et moins
Racine,Femme,50-59 ans,entre 5 et 10 fois
Racine,Femme,50-59 ans,entre 5 et 10 fois
Racine,Femme,70 ans et plus,presque toutes les semaines
Acton Vale,Femme,40-49 ans,presque toutes les semaines
Racine,Femme,50-59 ans,presque toutes les semaines
Racine,Homme,60-69 ans,entre 10 et 15 fois
St-Claude,Femme,50-59 ans,5 fois et moins
Orford,Femme,30-39 ans,entre 5 et 10 fois
Sherbrooke,Femme,40-49 ans,presque toutes les semaines
Maricourt,Femme,40-49 ans,presque toutes les semaines
St-François-Xavier de Brompton,Homme,17-29 ans,entre 10 et 15 fois
St-Joachim De Shefford,Femme,30-39 ans,entre 5 et 10 fois
Racine,Femme,60-69 ans,presque toutes les semaines
St-Denis-de-Brompton,Homme,30-39 ans,entre 5 et 10 fois
Val Des Sources,Femme,50-59 ans,entre 5 et 10 fois
Orford,Femme,70 ans et plus,presque toutes les semaines
Sherbrooke,Femme,50-59 ans,entre 5 et 10 fois
Sherbrooke,Femme,60-69 ans,entre 10 et 15 fois
St-Denis-de-Brompton,Homme,50-59 ans,entre 10 et 15 fois
Valcourt,Femme,30-39 ans,presque toutes les semaines
Lac Stukely,Femme,70 ans et plus,presque toutes les semaines
St-Denis,Femme,60-69 ans,entre 5 et 10 fois
Stukeley Sud,Femme,60-69 ans,5 fois et moins
St-Georges-De-Windsor,Femme,60-69 ans,5 fois et moins
St-Denis-de-Brompton,Femme,60-69 ans,5 fois et moins
Saint-Denis-De-Brompton,Homme,60-69 ans,entre 5 et 10 fois
Saint Bruno De Montarill,Homme,70 ans et plus,5 fois et moins
Sherbrooke,Homme,70 ans et plus,entre 5 et 10 fois
Montréal,Femme,50-59 ans,5 fois et moins
Orford (Nord),Homme,70 ans et plus,5 fois et moins
Lawrenceville,Femme,50-59 ans,presque toutes les semaines
Saint-Hyacinthe,Femme,60-69 ans,5 fois et moins
Sherbrooke,Femme,60-69 ans,5 fois et moins
Racine,Homme,60-69 ans,5 fois et moins
St-Denis-de-Brompton,Femme,70 ans et plus,entre 10 et 15 fois
St-Denis-de-Brompton,Homme,50-59 ans,5 fois et moins
Racine,Femme,60-69 ans,presque toutes les semaines
St-Denis-de-Brompton,Femme,50-59 ans,entre 10 et 15 fois
Eastman,Femme,50-59 ans,entre 10 et 15 fois
Racine,Homme,60-69 ans,presque toutes les semaines
Racine,Femme,60-69 ans,presque toutes les semaines
En Vacances Dans La Région,Femme,60-69 ans,5 fois et moins
Orford,Homme,50-59 ans,5 fois et moins
Melbourne,Femme,60-69 ans,entre 5 et 10 fois
St-Denis-de-Brompton,Femme,60-69 ans,entre 5 et 10 fois
Orford,Homme,60-69 ans,presque toutes les semaines
Waterloo,Femme,60-69 ans,entre 10 et 15 fois
Sherbrooke,Homme,70 ans et plus,5 fois et moins
Racine,Femme,60-69 ans,presque toutes les semaines
Orford,Femme,60-69 ans,presque toutes les semaines
Nan,Femme,70 ans et plus,entre 5 et 10 fois
Stoke,Femme,50-59 ans,entre 5 et 10 fois
Orford,Homme,60-69 ans,entre 5 et 10 fois
St-Denis-de-Brompton,Femme,50-59 ans,presque toutes les semaines
Sherbrooke,Femme,70 ans et plus,entre 10 et 15 fois
Racine,Femme,70 ans et plus,entre 5 et 10 fois
Orford,Femme,30-39 ans,presque toutes les semaines
Granby,Femme,60-69 ans,presque toutes les semaines
Racine,Femme,60-69 ans,5 fois et moins
Melbourne,Femme,50-59 ans,5 fois et moins
Waterloo,Femme,60-69 ans,5 fois et moins
St-Denis-de-Brompton,Femme,50-59 ans,entre 5 et 10 fois
Valcourt,Femme,60-69 ans,presque toutes les semaines
Sherbrooke,Homme,60-69 ans,presque toutes les semaines
St-Denis-de-Brompton,Femme,60-69 ans,presque toutes les semaines
Notre Dame De Ham,Femme,70 ans et plus,entre 5 et 10 fois
Orford,Femme,60-69 ans,presque toutes les semaines
St Denis (Sddb),Femme,40-49 ans,presque toutes les semaines
Orford,Femme,70 ans et plus,5 fois et moins
Magog,Femme,70 ans et plus,entre 5 et 10 fois
Eastman,Femme,60-69 ans,entre 10 et 15 fois
Racine,Femme,70 ans et plus,entre 5 et 10 fois
Lawrenceville,Homme,70 ans et plus,entre 10 et 15 fois
Orford,Homme,50-59 ans,presque toutes les semaines
Orford,Femme,60-69 ans,presque toutes les semaines
Camping Plage Mckenzie,Femme,50-59 ans,entre 5 et 10 fois
Orford,Femme,70 ans et plus,presque toutes les semaines
Ulverton,Homme,40-49 ans,5 fois et moins
Montréal,Femme,50-59 ans,5 fois et moins
"Chemin Des Baies, Racine",Femme,30-39 ans,5 fois et moins
Sherbrooke,Femme,17-29 ans,5 fois et moins
