ID,Dim1,Dim2,Dim3,Referendum,Option_Ind,Option_SouAss,Option_Prov,Argument_Droit,Argument_Resssources,Argument_Faisable,Honte_Racisme,Honte_Colonialisme,Futur_Francais,Futur_Economie,Futur_culture,Opinion_Immigration,Opinion_sociale,Opinion_economique,Opinion_feministe,Opinion_lgbtq,Attitude_risque,Vote_provincial,Vote_federal,Genre,Langue,Age,Origine,Scolarite,Revenus
Ind_1,0.439325,-2.054237,0.118951,Sou_NON,CONTRE,POUR,POUR,POUR,CONTRE,NEUTRE,ACCORD,ACCORD,NSP,NSP,NEUTRE,POUR,Responsabilité collective,NSP,Féministe: POUR féministe,Féministe: POUR féministe,Risque difficile,QS,NPD,Femme,Francophones,18-39 ans,Né Canada,Collégial,Revenus moyens
Ind_2,-0.45036,-1.64425,-0.752147,Sou_NSP,POUR,POUR,POUR,POUR,CONTRE,POUR,ACCORD,NEUTRE,NEUTRE,PESSIMISTE,OPTIMISTE,CONTRE,Responsabilité collective,Economie: privé et public,Féministe: POUR féministe,Féministe: POUR féministe,Risque difficile,PLQ,NPD,Femme,Francophones,18-39 ans,Né Canada,Universitaire,Revenus moyens
Ind_3,0.220854,-0.8045,2.164368,Sou_NSP,NSP,NSP,NSP,NSP,NSP,NSP,NSP,NSP,PESSIMISTE,NSP,NSP,CONTRE,NSP,Economie: privé et public,Feministre: NEUTRE féministe,Feministe: CONTRE féministe,Risque facile,NSP,Vote fed: NSP,Femme,Non francophones,40-59 ans,Né Ailleurs,Secondaire,NSP
Ind_4,-2.37758,1.289581,-0.235095,Sou_OUI,POUR,POUR,POUR,POUR,POUR,POUR,DÉSACCORD,DÉSACCORD,OPTIMISTE,NEUTRE,OPTIMISTE,CONTRE,Responsabilité individuelle,Economie: privé et public,NSP,Feministe: CONTRE féministe,Risque facile,PQ,BQ,Homme,Francophones,60 ans et plus,Né Canada,Collégial,NSP
Ind_5,-0.270605,0.201963,0.347882,Sou_NON,POUR,NSP,POUR,POUR,CONTRE,POUR,DÉSACCORD,DÉSACCORD,NEUTRE,PESSIMISTE,OPTIMISTE,CONTRE,Responsabilité individuelle,NSP,Feministe: CONTRE féministe,Féministe: POUR féministe,Risque difficile,PQ,PCC,Femme,Francophones,18-39 ans,Né Canada,Collégial,Revenus élevés
Ind_6,2.115413,1.03798,-0.631907,Sou_NON,CONTRE,CONTRE,POUR,CONTRE,CONTRE,CONTRE,NEUTRE,NEUTRE,NEUTRE,PESSIMISTE,PESSIMISTE,CONTRE,Responsabilité individuelle,Economie: privé et public,Feministre: NEUTRE féministe,Feministre: NEUTRE féministe,Risque difficile,PLQ,PLC,Homme,Non francophones,60 ans et plus,Né Canada,Universitaire,Revenus bas
Ind_7,-1.40041,1.212352,0.445331,Sou_NSP,CONTRE,POUR,CONTRE,POUR,POUR,POUR,DÉSACCORD,DÉSACCORD,NEUTRE,OPTIMISTE,NEUTRE,CONTRE,Responsabilité mixte,Economie: privé et public,Feministre: NEUTRE féministe,Feministre: NEUTRE féministe,Risque facile,PQ,PCC,Homme,Francophones,18-39 ans,Né Canada,Collégial,Revenus bas
Ind_8,0.640384,0.685608,0.023741,Sou_NON,POUR,POUR,POUR,CONTRE,POUR,CONTRE,NEUTRE,ACCORD,PESSIMISTE,PESSIMISTE,PESSIMISTE,CONTRE,Responsabilité individuelle,Economie: neutre,Feministre: NEUTRE féministe,Feministe: CONTRE féministe,Risque facile,CAQ,PLC,Femme,Francophones,40-59 ans,Né Canada,Universitaire,Revenus moyens
Ind_9,-2.082246,0.784195,0.631086,Sou_OUI,POUR,CONTRE,CONTRE,POUR,POUR,POUR,DÉSACCORD,DÉSACCORD,OPTIMISTE,OPTIMISTE,OPTIMISTE,CONTRE,Responsabilité mixte,Economie: neutre,Feministre: NEUTRE féministe,Feministre: NEUTRE féministe,Risque difficile,PQ,PCC,Femme,Francophones,60 ans et plus,Né Canada,Collégial,NSP
Ind_10,-2.824747,1.429441,-0.041581,Sou_OUI,POUR,POUR,CONTRE,POUR,POUR,POUR,DÉSACCORD,DÉSACCORD,OPTIMISTE,OPTIMISTE,OPTIMISTE,CONTRE,Responsabilité individuelle,Economie: privé et public,Feministre: NEUTRE féministe,Feministre: NEUTRE féministe,Risque difficile,PQ,BQ,Homme,Francophones,60 ans et plus,Né Canada,Secondaire,Revenus bas
Ind_11,1.448467,0.02194,-0.416687,Sou_NON,CONTRE,POUR,POUR,CONTRE,CONTRE,CONTRE,DÉSACCORD,DÉSACCORD,NEUTRE,PESSIMISTE,PESSIMISTE,CONTRE,Responsabilité collective,Economie: neutre,Féministe: POUR féministe,Féministe: POUR féministe,Risque facile,PLQ,PLC,Femme,Francophones,60 ans et plus,Né Canada,Collégial,NSP
