JHG1,JHG2,JHG3,JHG4,JHG,CENTRE,JHGBIS,AUTO,AUTOBIS,AUTOTRIS,VOTESA,VOTEIND,VOTECH,VOTEQ,VICTOIRE,VOTEHYP1,VOTEHYP2,SEXE,AGE,SCOL,LANGUE,TRAV,PROF,REV,CODE,RELIGION,QUEBEC,IDENT,IDENTP,ESTIME,IDEOLOGI,MONDE,FRANCAIS,COMP,SPIRALE,UTILE,CHOMAGE,PROXPLQ,PROXPQ,PROXADQ,PROXRAP,POLITIS,PRESENT,PESSIMI,POLITIQU,ORIENT,PRESENCE,PARTICIP,PATRIMOI,POIDS,Q1,Q2A,Q2B,Q2C,Q2D,Q3,Q4A,Q4B,Q4C,Q4D,Q5A,Q5B,Q5C,Q6A,Q6B,Q6C,Q7A,Q7B,Q7C,Q8A,Q8B,Q8C,Q9A,Q9B,Q9C,Q10A,Q10B,Q10C,Q11,Q11R,Q12,Q13A,Q13B,Q13C,Q13D,Q13E,Q13F,Q13G,Q13H,Q14A,Q14B,Q14C,Q14D,Q14E,Q15,Q16,Q17,Q18,Q19A1,Q19A2,Q19A3,Q19A4,Q19A5,Q19A6,Q19A7,Q19A8,Q19B1,Q19B2,Q19B3,Q19B4,Q19B5,Q19B6,Q19B7,Q19B8,Q19C1,Q19C2,Q19C3,Q19C4,Q19C5,Q19C6,Q19C7,Q19C8,Q20A,Q20B,Q20C,Q20D,Q20E,Q21A,Q21B,Q21C,Q21D,Q22A,Q22B,Q22C,Q22D,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31A,Q31B,Q31C,Q31D,Q31E,Q31F,Q31G,Q31H,Q32A,Q32B,Q32C,Q32D,Q33A1,Q33A2,Q33A3,Q33B1,Q33B2,Q33B3,Q33C1,Q33C2,Q33C3,Q34A,Q34B,Q34C,Q34D,Q34E,Q34F,Q34G,Q34H,Q34I,Q35A,Q35B,Q36,Q37,Q38A,Q38B,Q38C,Q38D,Q39,Q40,Q41,Q42,Q43,Q44A,Q44B,Q44C,Q44D,Q44E,Q44F,Q44G1,Q44G2,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54A,Q54B,Q55A,Q55B,Q55C,Q55D,Q55E,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q63A,Q63B,Q63C,Q63D,Q63E,Q63F,Q66A,Q66B,Q66C,Q66D1,Q66D2,Q66E,Q67,Q68A,Q68B,Q69,SEGMENT,Q57R,STR,NPERS3,GRAP,REGION,SEQUENCE,GRAPPE,CARTE,INTERV,TIME3,NPERS1,NPERS2,POSTAL,SEXEA,STATUT,TELPREN,TELREGN,TELSUFN,FILTER_$,NEURO2,ZONE,WTC
OUI-1,OUI-2,OUI-3,NON-4,3-OUI,CENTRE,3-OUI,S08,AUTOS,SOUV,NON-SA,OUI-IND,PAYS,PQ,VNON,NO-SA,OO-IND,FEMME,55-64,SEC,FRA,RETRAITE,,25000,418,REL-,PEUPLE,QUEBECOIS,IDENT-,EST=,CC,MOND+,FRA+,COMP-,SPIR++,UTILE,CHOM=,PLQ-,PQ+,ADQ=,RAP-,,EGAL,PESS+,NEG,QUE++,INT+,10.0,9.0,0.6644400098702433,Aussi bien,Plutôt désaccord,Plutôt accord,Plutôt accord,Plutôt désaccord,Journaux,Assez souvent,Assez souvent,Rarement,Jamais,Rarement,Assez souvent,Rarement,Jamais,Rarement,Rarement,Très souvent,Très souvent,Rarement,Jamais,Rarement,Rarement,Jamais,Assez souvent,Rarement,Rarement,,Assez souvent,"107,5_______",Radio Rock Détente (FM),Oui,Pas-du-tout,Assez,Peu,Assez,Beaucoup,Assez,Peu,Pas-du-tout,Rarement,Rarement,Jamais,Assez souvent,,Finir conversation,Plutôt accord,Peuple,Québécois,,,,,,,,,,,,,,,,,T-à-f accord,Plutôt désaccord,Plutôt accord,T-à-f désaccord,Plutôt accord,Plutôt désaccord,T-à-f accord,T-à-f désaccord,T-à-f accord,T-à-f désaccord,Plutôt accord,Plutôt accord,T-à-f accord,Plutôt accord,T-à-f accord,T-à-f désaccord,Plutôt accord,Plutôt désaccord,Plutôt accord,T-à-f accord,Plutôt accord,Très bien,Assez important,Utile,Un peu,Restée la même,Restée la même,Va se détériorer,Va rester la même,Non,Oui,Non,Oui,Oui,Non,Oui,Oui,Éloigné,Proche,Plus ou moins,Éloigné,Peu différences,Peu différences,Peu différences,Assez grandes,Assez grandes,Assez grandes,Peu différences,Peu différences,Peu différences,Québec,Québec,Québec,Québec,Québec,Les deux également,Québec,Les deux également,Québec,Ottawa,Ottawa,Jeunes,Secteur privé,Plutôt accord,Plutôt désaccord,Plutôt accord,Plutôt accord,Bonne,Baisser impots,Baisser impots,Plutôt satisfait,Personne,Assez important,Très important,Assez important,Peu important,Peu important,Assez important,Assez important,Très important,Plus ou moins,En appeler peuple,S08,Non,Oui,Oui,,Pays,Contre,PQ,,Non,Oui,Non,Oui,Non,Même parti,49.0,Secondaire,Francais,Retraité,,20000-29999,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Quelques fois/an,Assez,Peu,,Centristes,5.0,2240.0,1.0,1.7293103448270082,Bas-St-Laurent,10003.0,8.0,0.0,100.0,  057216,2.0,1.0,G5L1A1,F,51.0,724.0,418.0,6035.0,Selected,PQ,Centre du Qc,Avant
NON-1,NON-2,OUI-3,NON-4,1-OUI,CENTRE,1-OUI,S09,AUTOS,SOUV,OUI-SA,NON-IND,PROV,PLQ,VNOUI,OO-SA,NN-IND,FEMME,35-44,UNIV,NEO,ETUDES,,45000,418,REL-,PEUPLE,QUEBECOIS,IDENT--,EST+,CD,MOND+,FRA-,COMP-,SPIR-,INUTILE,CHOM-,PLQ=,PQ-,ADQ+,RAP-,,PIRE,PESS=,POS+,OTT+,INT++,10.0,11.0,0.6644400098702433,Moins bien,T-à-f accord,Plutôt désaccord,T-à-f accord,T-à-f désaccord,Télévision,Assez souvent,Rarement,Jamais,Assez souvent,Assez souvent,Assez souvent,Rarement,Assez souvent,Jamais,Jamais,Très souvent,Assez souvent,Rarement,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Assez souvent,Rarement,Assez souvent,"96,9________",Rock Pop (FM),Oui,Peu,Peu,Assez,Peu,Beaucoup,Beaucoup,Assez,Assez,,,Assez souvent,Très souvent,Rarement,Exprimer opinion,Plutôt accord,Peuple,Québécois,,,,,,,,,,,,,,,,,Plutôt accord,Plutôt accord,Plutôt accord,T-à-f désaccord,Plutôt accord,Plutôt accord,Plutôt accord,T-à-f désaccord,Plutôt accord,T-à-f désaccord,Plutôt accord,Plutôt accord,Plutôt accord,Plutôt désaccord,T-à-f accord,Plutôt désaccord,T-à-f accord,Plutôt accord,T-à-f accord,Plutôt accord,Plutôt accord,Pas très bien,Assez important,Ne sert a rien,Aucun,Restée la même,Restée la même,Va se détériorer,Va s'améliorer,Oui,Non,Oui,Non,Oui,Non,Non,Non,Plus ou moins,Éloigné,Proche,Éloigné,Peu différences,Peu différences,Peu différences,Peu différences,Peu différences,Peu différences,Très grandes,Peu différences,Peu différences,Ottawa,Québec,Ottawa,Ottawa,Québec,Ottawa,Québec,Ottawa,Québec,Québec,Québec,Jeunes,Gr. communautaires,Plutôt accord,Plutôt accord,Plutôt désaccord,Plutôt accord,Bonne,Rembourser dette,Rembourser dette,Plutôt satisfait,Classe moyenne,Assez important,Assez important,Très important,Très important,Peu important,Très important,Très important,Assez important,P-d-t suffisant,En appeler peuple,S09,Oui,Oui,Non,Non,Province,Egalite,PLQ,,Non,Oui,Non,,Non,Change parti,36.0,Universitaire,Autre,Études,,"40000-49,999",Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Rarement,Peu,Assez,,Centristes,3.0,2240.0,1.0,1.7293103448270082,Bas-St-Laurent,10003.0,9.0,0.0,100.0,  057216,2.0,1.0,G5L1A1,F,51.0,724.0,418.0,6035.0,Not Selected,PQ,Centre du Qc,Avant
NON-1,NON-2,NON-3,NON-4,0-OUI,NCENTRE,,,,,,,,PLQ,,,,FEMME,65+,SEC,FRA,RETRAITE,,15000,418,REL--,,,,,,,,,,,,,,,,,PIRE,,,,,,,0.6644400098702433,Moins bien,Plutôt accord,Plutôt désaccord,T-à-f désaccord,T-à-f désaccord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLQ,,Non,Oui,Non,Oui,Oui,Change parti,69.0,Secondaire,Francais,Retraité,,"10000-19,999",,,,,,,,,,,,,Jamais,Peu,Pas-du-tout,Non,Non-centristes,6.0,2240.0,1.0,1.7293103448270082,Bas-St-Laurent,10004.0,1.0,0.0,130.0,  0570161011,2.0,1.0,G0L1E0,F,52.0,854.0,418.0,5983.0,Selected,PLQ,Centre du Qc,Avant
NON-1,OUI-2,OUI-3,OUI-4,3-OUI,CENTRE,3-OUI,S10,AUTOSS,SOUV,OUI-SA,OUI-IND,PAYS,PQ,VOUI,OO-SA,OO-IND,FEMME,25-34,CEGEP,FRA,TPLEIN,TECHNIC,,418,REL+,PAYS,QUEBECOIS,IDENT++,EST+,CD,MOND+,FRA++,COMP++,SPIR+,INUTILE,CHOM=,PLQ-,PQ+,ADQ-,RAP-,,EGAL,OPT++,NEG,QUE++,INT++,11.0,12.0,0.6644400098702433,Aussi bien,T-à-f accord,T-à-f accord,T-à-f accord,T-à-f accord,Télévision,Assez souvent,Très souvent,Assez souvent,Très souvent,Très souvent,Très souvent,Assez souvent,Rarement,Rarement,Rarement,Rarement,Rarement,Rarement,Rarement,Rarement,Rarement,Jamais,Jamais,Jamais,Très souvent,Assez souvent,Très souvent,98.9 FM_____,Radio Énergie (FM),Oui,Pas-du-tout,Assez,Pas-du-tout,Assez,Assez,Assez,Pas-du-tout,Pas-du-tout,Très souvent,,Assez souvent,Très souvent,Assez souvent,Écouter opinion,T-à-f désaccord,Pays,Québécois,,,,,,,,,,,,,,,,,T-à-f accord,Plutôt accord,T-à-f accord,T-à-f désaccord,T-à-f accord,T-à-f accord,T-à-f accord,Plutôt désaccord,T-à-f accord,T-à-f désaccord,Plutôt accord,T-à-f accord,T-à-f accord,T-à-f accord,T-à-f accord,T-à-f désaccord,Plutôt accord,T-à-f désaccord,Plutôt accord,Plutôt accord,Plutôt accord,Assez bien,Assez important,Ne sert a rien,Un peu,Détériorée,Améliorée,Va s'améliorer,Va s'améliorer,Non,Oui,Non,Oui,Non,Non,Oui,Oui,Éloigné,Proche,Éloigné,Éloigné,Assez grandes,Assez grandes,Assez grandes,Assez grandes,Assez grandes,Assez grandes,Très grandes,Assez grandes,Très grandes,Québec,Québec,Québec,Québec,Québec,Québec,Québec,Québec,Québec,Ottawa,Ottawa,,Gouv. québécois,T-à-f accord,Plutôt désaccord,Plutôt désaccord,Plutôt accord,Très bonne,Programmes sociaux,Programmes sociaux,Plutôt satisfait,Personne,Assez important,Très important,Très important,Très important,Très important,Assez important,Très important,Très important,T-à-f suffisant,En appeler peuple,S10,Oui,,Oui,,Pays,Pour,PQ,,Oui,Oui,Non,Oui,Oui,Même parti,28.0,Collégial,Francais,Temps plein,Technicien,,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Quelques fois/an,Assez,Beaucoup,Non,Centristes,2.0,2240.0,1.0,1.7293103448270082,Bas-St-Laurent,10007.0,1.0,0.0,80.0,  043006,2.0,1.0,G0J3E0,F,51.0,836.0,418.0,4498.0,Selected,PQ,Centre du Qc,Avant
OUI-1,OUI-2,OUI-3,OUI-4,4-OUI,NCENTRE,,,,,,,,PQ,,,,HOMME,25-34,SEC,FRA,ETUDES,,25000,418,REL+,,,,,,,,,,,,,,,,,EGAL,,,,,,,0.9179749815163847,Aussi bien,T-à-f désaccord,T-à-f accord,T-à-f accord,T-à-f accord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nsp,PQ,Non,Oui,Non,Non,Oui,Change parti,26.0,Secondaire,Francais,Études,,20000-29999,,,,,,,,,,,,,Quelques fois/an,Assez,Beaucoup,Oui,Non-centristes,2.0,2240.0,0.0,2.389175257732053,Bas-St-Laurent,10009.0,1.0,0.0,90.0,  0572691011,1.0,1.0,G0K1E0,M,52.0,739.0,418.0,3594.0,Selected,PQ,Centre du Qc,Avant
NON-1,OUI-2,OUI-3,OUI-4,3-OUI,CENTRE,3-OUI,S07,AUTOS,SOUV,NON-SA,NON-IND,PAYS,PQ,VOUI,NO-SA,NN-IND,HOMME,25-34,SEC,FRA,TPLEIN,MANOEUV,45000,418,REL-,PEUPLE,QUEBECOIS,IDENT++,EST+,CD,MOND+,FRA++,COMP-,SPIR++,UTILE,CHOM=,PLQ-,PQ+,ADQ=,,,MIEUX,OPT+,POS+,OTT++,INT++,12.0,10.0,0.9179749815163847,Mieux,T-à-f accord,T-à-f accord,T-à-f accord,Plutôt accord,Télévision,Assez souvent,Jamais,Jamais,Jamais,Rarement,Rarement,Rarement,Jamais,Jamais,Jamais,Rarement,Rarement,Rarement,Rarement,Jamais,Jamais,Jamais,Jamais,Jamais,Assez souvent,Assez souvent,Très souvent,75.5________,Autres FM,Oui,Pas-du-tout,Assez,Pas-du-tout,Pas-du-tout,Assez,Assez,Assez,Assez,Assez souvent,,Jamais,Assez souvent,Assez souvent,Finir conversation,Plutôt accord,Peuple,Québécois,,,,,,,,,,,,,,,,,T-à-f accord,Plutôt accord,T-à-f accord,Plutôt désaccord,T-à-f accord,T-à-f accord,T-à-f accord,T-à-f désaccord,T-à-f accord,T-à-f désaccord,Plutôt accord,T-à-f accord,T-à-f accord,Plutôt accord,T-à-f accord,T-à-f désaccord,T-à-f accord,Plutôt désaccord,Plutôt accord,Plutôt accord,Plutôt désaccord,Assez bien,Assez important,Utile,Un peu,Restée la même,Détériorée,Va rester la même,Va s'améliorer,Oui,Non,Non,Non,Oui,Non,Oui,Non,Éloigné,Proche,Plus ou moins,,Assez grandes,Très grandes,Très grandes,Assez grandes,Peu différences,Peu différences,Assez grandes,Peu différences,Assez grandes,Ottawa,Ottawa,Ottawa,Ottawa,Québec,Québec,Les deux également,Les deux également,Québec,Québec,Ottawa,,Gouv. canadien,Plutôt désaccord,Plutôt désaccord,T-à-f désaccord,T-à-f accord,Bonne,Rembourser dette,Rembourser dette,Plutôt insatisfait,Plus riches,Assez important,Très important,Très important,Peu important,Peu important,Assez important,Très important,Très important,T-à-f suffisant,En appeler peuple,S07,Non,Oui,Non,Non,Pays,Pour,PQ,,Non,Oui,Oui,Oui,Oui,Même parti,34.0,Secondaire,Francais,Temps plein,Manoeuvre,"40000-49,999",Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Jamais,Assez,Assez,Non,Centristes,2.0,2240.0,1.0,2.389175257732053,Bas-St-Laurent,10010.0,1.0,0.0,90.0,  043254,2.0,1.0,G5H3K6,M,51.0,775.0,418.0,5047.0,Selected,PQ,Centre du Qc,Avant
NON-1,NON-2,NON-3,NON-4,0-OUI,NCENTRE,,,,,,,,PLQ,,,,FEMME,45-54,UNIV,FRA,TPLEIN,COMMERC,45000,418,,,,,,,,,,,,,,,,,,MIEUX,,,,,,,0.6644400098702433,Mieux,T-à-f accord,T-à-f désaccord,T-à-f désaccord,T-à-f désaccord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLQ,,Non,Oui,Non,Oui,Oui,Change parti,42.0,Universitaire,Francais,Temps plein,Commerçant,"40000-49,999",,,,,,,,,,,,,,,,,Non-centristes,4.0,2240.0,1.0,1.7293103448270082,Bas-St-Laurent,10013.0,1.0,0.0,130.0,010570581011,2.0,1.0,G5T1E5,F,52.0,853.0,418.0,2285.0,Selected,PLQ,Centre du Qc,Avant
NON-1,OUI-2,OUI-3,OUI-4,3-OUI,CENTRE,3-OUI,S10,AUTOSS,SOUV,OUI-SA,NON-IND,PROV,PQ,VOUI,OO-SA,NO-IND,FEMME,45-54,SEC,FRA,TPLEIN,MANOEUV,5000,418,REL+,PROVINCE,QUEBECOIS,IDENT++,EST=,CD,MOND+,FRA+,COMP-,SPIR-,UTILE,CHOM+,PLQ-,PQ+,ADQ-,RAP-,POL--,PIRE,PESS=,NEG+,QUE++,INT++,12.0,10.0,0.6644400098702433,Moins bien,T-à-f accord,T-à-f accord,T-à-f accord,T-à-f accord,Télévision,Jamais,Assez souvent,Très souvent,Rarement,Très souvent,Assez souvent,Assez souvent,Assez souvent,Assez souvent,Assez souvent,Rarement,Rarement,Assez souvent,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Assez souvent,Très souvent,Rarement,1220 AM_____,Autres AM,Non,Pas-du-tout,Assez,Pas-du-tout,Assez,Assez,Assez,Peu,Pas-du-tout,Jamais,Jamais,Jamais,Jamais,Jamais,Exprimer opinion,Plutôt accord,Province,Québécois,,,,,,,,,,,,,,,,,T-à-f accord,Plutôt accord,T-à-f accord,Plutôt désaccord,T-à-f accord,Plutôt accord,T-à-f accord,T-à-f désaccord,T-à-f accord,Plutôt désaccord,Plutôt désaccord,T-à-f accord,T-à-f accord,Plutôt accord,T-à-f accord,Plutôt désaccord,T-à-f accord,Plutôt désaccord,T-à-f accord,T-à-f accord,Plutôt accord,Assez bien,Assez important,Utile,Beaucoup,Restée la même,Détériorée,Va rester la même,Va rester la même,Non,Oui,Non,Oui,Non,Oui,Oui,Oui,Éloigné,Proche,Éloigné,Éloigné,Peu différences,Assez grandes,Assez grandes,Assez grandes,Assez grandes,Assez grandes,Assez grandes,P-d-t différences,Peu différences,Québec,Québec,Québec,Québec,Québec,Québec,Québec,Québec,Québec,Ottawa,Québec,,Gouv. québécois,Plutôt désaccord,Plutôt désaccord,Plutôt désaccord,T-à-f accord,Mauvaise,Programmes sociaux,Programmes sociaux,Plutôt satisfait,Personne,Assez important,Très important,Très important,Peu important,Très important,Assez important,Très important,Très important,T-à-f suffisant,Compensations,S10,Oui,,Non,Oui,Province,Pour,PQ,,Non,Oui,Non,Oui,Oui,Change parti,43.0,Secondaire,Francais,Temps plein,Manoeuvre,Moins de 10000$,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Quelques fois/an,Assez,Assez,Non,Centristes,4.0,2240.0,1.0,1.7293103448270082,Bas-St-Laurent,10017.0,1.0,0.0,70.0,  043069,2.0,1.0,G0J1B0,F,51.0,629.0,418.0,5436.0,Selected,PQ,Centre du Qc,Avant
NON-1,NON-2,NON-3,NON-4,0-OUI,NCENTRE,,,,,,,,PQ,,,,FEMME,25-34,SEC,FRA,TPLEIN,EMPLOYE,,418,,,,,,,,,,,,,,,,,,MIEUX,,,,,,,0.6644400098702433,Mieux,T-à-f accord,T-à-f désaccord,Plutôt désaccord,Plutôt désaccord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PQ,,Oui,Oui,Oui,Oui,Oui,Change parti,31.0,Secondaire,Francais,Temps plein,Employé bureau,,,,,,,,,,,,,,,,,,Non-centristes,2.0,2240.0,1.0,1.7293103448270082,Bas-St-Laurent,10023.0,1.0,0.0,70.0,  0430691011,2.0,1.0,G0J1B0,F,52.0,629.0,418.0,3770.0,Selected,PLQ,Centre du Qc,Avant
NON-1,NON-2,NON-3,OUI-4,1-OUI,CENTRE,1-OUI,S02,AUTOF,FED,OUI-SA,NON-IND,PAYS,PQ,VOUI,OO-SA,NN-IND,FEMME,35-44,SEC,FRA,TPLEIN,MANOEUV,15000,418,REL--,PAYS,QUEBECOIS,IDENT++,,CC,,FRA++,COMP+,SPIR++,INUTILE,CHOM-,PLQ=,PQ=,ADQ=,RAP=,POL=,MIEUX,PESS=,NEG,QUE+,INT+,12.0,11.0,0.6644400098702433,Mieux,Plutôt accord,T-à-f désaccord,T-à-f désaccord,T-à-f accord,Télévision,Jamais,Jamais,Jamais,Jamais,Très souvent,Très souvent,Très souvent,Assez souvent,Assez souvent,Assez souvent,Assez souvent,Assez souvent,Assez souvent,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Assez souvent,Jamais,Assez souvent,93__________,Cogeco,Oui,Pas-du-tout,Pas-du-tout,Pas-du-tout,Assez,Assez,Assez,Pas-du-tout,Assez,Rarement,Rarement,Rarement,Rarement,Rarement,Finir conversation,Plutôt désaccord,Pays,Québécois,,,,,,,,,,,,,,,,,T-à-f accord,Plutôt accord,T-à-f accord,T-à-f désaccord,T-à-f accord,Nsp,T-à-f accord,T-à-f désaccord,T-à-f accord,T-à-f désaccord,T-à-f désaccord,T-à-f accord,T-à-f accord,T-à-f accord,T-à-f accord,T-à-f désaccord,T-à-f désaccord,,,,,Pas très bien,P-d-t important,Ne sert a rien,Aucun,Restée la même,Restée la même,Va rester la même,Va rester la même,Non,Oui,Non,Oui,Oui,Non,Non,Non,Plus ou moins,Plus ou moins,Plus ou moins,Plus ou moins,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,P-d-t différences,Les deux également,Québec,Québec,,,,Les deux également,Les deux également,Les deux également,Québec,Québec,,Gouv. québécois,T-à-f accord,T-à-f désaccord,T-à-f désaccord,T-à-f désaccord,Mauvaise,Baisser impots,Baisser impots,T-à-f insatisfait,Personne,P-d-t important,Assez important,Très important,Assez important,Assez important,Assez important,Assez important,Assez important,Plus ou moins,Agir sans Ottawa,S02,Oui,,Non,Non,Pays,Pour,PQ,,Oui,Oui,Non,Oui,Oui,Même parti,37.0,Secondaire,Francais,Temps plein,Manoeuvre,"10000-19,999",Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Rarement,Assez,Pas-du-tout,,Centristes,3.0,2240.0,1.0,1.7293103448270082,Bas-St-Laurent,10033.0,1.0,0.0,70.0,  043069,2.0,1.0,G0J1B0,F,51.0,629.0,418.0,5619.0,Selected,PLQ,Centre du Qc,Avant
