,REGION,ST004D01T,ST343Q01JA,ST343Q02JA,ST343Q03JA,ST343Q04JA,ST343Q05JA,ST343Q06JA,ST343Q07JA,ST343Q08JA,ST343Q09JA,ST343Q10JA
0,12402.0,1.0,4.0,3.0,,2.0,,,,4.0,,3.0
1,12408.0,2.0,,,3.0,3.0,3.0,,3.0,,,3.0
2,12406.0,2.0,,,5.0,,1.0,,1.0,,4.0,1.0
3,12405.0,2.0,,5.0,5.0,,,,5.0,5.0,,5.0
4,12404.0,2.0,,,5.0,,,,2.0,4.0,5.0,1.0
5,12409.0,1.0,,2.0,4.0,3.0,,5.0,3.0,,,
6,12405.0,2.0,,,,,,,,,,
7,12406.0,2.0,,4.0,,4.0,,3.0,4.0,,3.0,
8,12405.0,2.0,4.0,,4.0,,2.0,4.0,,,,2.0
9,12405.0,2.0,,1.0,3.0,,3.0,2.0,,3.0,,
10,12405.0,2.0,3.0,3.0,2.0,,3.0,,3.0,,,
11,12405.0,2.0,4.0,2.0,,,2.0,,,4.0,4.0,
12,12408.0,2.0,3.0,,,,4.0,4.0,5.0,,,3.0
13,12401.0,1.0,,,,1.0,,4.0,,5.0,4.0,1.0
14,12410.0,2.0,,4.0,4.0,3.0,2.0,3.0,,,,
15,12401.0,2.0,,1.0,4.0,2.0,2.0,,,4.0,,
16,12408.0,1.0,4.0,2.0,,3.0,,4.0,2.0,,,
17,12401.0,2.0,,,5.0,,1.0,5.0,,5.0,5.0,
18,12406.0,1.0,,,,,,,,,,
19,12405.0,2.0,,5.0,,5.0,,,5.0,5.0,5.0,
20,12407.0,2.0,,,,,,,,,,
21,12406.0,2.0,,3.0,,,1.0,5.0,2.0,,4.0,
22,12406.0,1.0,4.0,,,,3.0,,1.0,3.0,,2.0
23,12410.0,1.0,,2.0,,,3.0,,,3.0,3.0,3.0
24,12407.0,2.0,,,,,,,,,,
25,12406.0,1.0,4.0,1.0,,,2.0,,,4.0,4.0,
26,12406.0,2.0,3.0,3.0,,3.0,,,,3.0,3.0,
27,12409.0,1.0,,4.0,,,2.0,2.0,3.0,,4.0,
28,12409.0,1.0,,,,,,,,,,
29,12407.0,1.0,,2.0,3.0,,,4.0,,2.0,4.0,
30,12406.0,1.0,5.0,,,,4.0,4.0,1.0,3.0,,
31,12407.0,2.0,3.0,,,,3.0,3.0,4.0,3.0,,
32,12408.0,1.0,,2.0,,2.0,,2.0,,,2.0,3.0
33,12406.0,2.0,,3.0,4.0,1.0,,3.0,,3.0,,
34,12405.0,1.0,5.0,,4.0,2.0,3.0,,,3.0,,
35,12410.0,2.0,5.0,3.0,,2.0,,,,5.0,,2.0
36,12401.0,1.0,,,4.0,,,,1.0,4.0,4.0,1.0
