variable, libelleQ
Referendum,"Si un référendum sur l'indépendance avait lieu aujourd'hui, voteriez-vous OUI ou NON?"
Option_Ind,"Que le Québec devienne un pays indépendant"
Option_SouAss,"Que le Québec devienne un État souverain associé économiquement avec le reste du Canada"
Option_Prov,"Que le Québec fasse partie du Canada en demeurant une province comme les autres"
Argument_Droit,"Le Québec a le droit de se séparer du Canada"
Argument_Resssources,"Le Québec a les ressources humaines, les ressources naturelles et le capital financier pour devenir un pays souverain"
Argument_Faisable,"Le projet de souveraineté politique est faisable"
Honte_Racisme,"Il existe une forme de racisme au Québec, présente dans certaines lois et institutions"
Honte_Colonialisme,"Collectivement, les Québécois devraient avoir honte de leur passé colonial et du traitement des minorités"
Futur_Francais,"Si le Québec se sépare du Canada, pensez-vous que la situation de la langue française au Québec"
Futur_Economie,"Si le Québec devenait un pays indépendant, la situation économique au Québec"
Futur_culture,"La culture québécoise serait mieux protégée si le Québec était souverain"
Opinion_Immigration,"Dans l'ensemble, il y a trop d'immigration au Québec"
Opinion_sociale,"Ceux qui ne réussissent pas dans la vie devraient se blâmer eux-mêmes, pas le système"
Opinion_economique,"Le gouvernement devrait laisser au secteur privé l'entière responsabilité de créer des emplois"
Opinion_feministe,"Sur une échelle de 0 à 100, que pensez vous des féministes (0-33,34-66,67-100)"
Opinion_lgbtq,"Sur une échelle de 0 à 100, que pensez vous des gais et lesbiennes (0-33,34-66,67-100)"
Attitude_risque,"En général, à quel point est-il facile ou difficile pour vous d'accepter de prendre des risques? (catégorisé: facile et difficile)"
Vote_provincial,"Si des élections PROVINCIALES avaient lieu aujourd'hui au Québec, pour quel parti voteriez-vous?"
Vote_federal,"Si des élections FÉDÉRALES avaient lieu aujourd'hui, pour quel parti voteriez-vous?"
Genre,"Quel est votre genre?"
Langue,"Langue choisie par le répondant pour compléter le sondage"
Age,"L'age de la personne en 2025"
Origine,"Êtes-vous né(e) au Canada?"
Scolarite,"Niveau de scolarité (catégorisé: universitaire, collégial, secondaire)"
Revenus,"Quel est le revenu total de votre ménage avant impôts en 2024?"

